,sklearn,pytorch
0,0.4901105805478764,0.6316536818296055
1,0.5746276042955412,0.5840797743356263
2,0.5045267489711934,0.5286250302590172
3,0.5351928710937499,0.59674072265625
4,0.5168728908886389,0.5050618672665917
5,0.5099340230919178,0.5695756485230169
6,0.5474508006945783,0.5189441443179625
7,0.5188074565883555,0.6069330949948927
8,0.5542622133599202,0.5766824526420737
9,0.5084269662921348,0.5530388151174668
10,0.5192021109333771,0.590459784258234
11,0.561050495467004,0.6399430740037951
12,0.5804250852794542,0.5998032012595119
13,0.5478023761604882,0.600233720703759
14,0.5814207650273224,0.5768670309653917
15,0.5530182285737245,0.629548772484363
16,0.5265123435205259,0.5636478075389887
17,0.570286475682878,0.6457513173036157
18,0.4973239885313794,0.5560369544440905
19,0.5560098337876116,0.6072898295120518
20,0.5705536738784821,0.5879173290937997
21,0.5965237327219652,0.6615971102195326
22,0.5310239361702127,0.6113164893617021
