,Loss/test,AUC/test,subject,session
0,0.6947516202926636,0.47418615221977234,LTP093,0
1,0.6883141398429871,0.576440155506134,LTP093,1
2,0.6850754618644714,0.5952212810516357,LTP093,2
3,0.6914883852005005,0.5384764671325684,LTP093,3
4,0.6885122656822205,0.5944842100143433,LTP093,4
5,0.6999190449714661,0.42929691076278687,LTP093,5
6,0.6913206577301025,0.5126569867134094,LTP093,6
7,0.6947608590126038,0.5004845857620239,LTP093,7
8,0.6870971918106079,0.5575076937675476,LTP093,8
9,0.6849153637886047,0.6201856136322021,LTP093,9
10,0.6853134632110596,0.6097872257232666,LTP093,10
11,0.6947327852249146,0.49152871966362,LTP093,11
12,0.6951262354850769,0.5598175525665283,LTP093,12
13,0.6877983808517456,0.5947645902633667,LTP093,13
14,0.6907177567481995,0.5514634847640991,LTP093,14
15,0.6853407025337219,0.5888798832893372,LTP093,15
16,0.6974111199378967,0.6073260307312012,LTP093,16
17,0.673879086971283,0.5819650888442993,LTP093,17
18,0.681527853012085,0.5286096334457397,LTP093,18
19,0.6892982125282288,0.5736625790596008,LTP093,19
20,0.6802697777748108,0.620193362236023,LTP093,20
21,,,LTP093,21
22,0.6783964037895203,0.6732673048973083,LTP093,22
23,0.6871736645698547,0.5692368745803833,LTP093,23
